            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
                Ca39,                 Ca39,              14470.0,            1.161e-18,                  0.0,            5.939e-12,             2.37e-12,                 60.0,                    1
                Ca40,                 Ca40,                  0.0,            1.175e-15,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ca41,                 Ca41,            1.196e-05,            3.815e-15,                  0.0,            5.449e-24,            8.377e-25,                 60.0,                    1
                Ca42,                 Ca42,                  0.0,            9.146e-15,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ca43,                 Ca43,                  0.0,            5.073e-15,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ca44,                 Ca44,                  0.0,            1.897e-15,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ca45,                 Ca45,              0.09902,            1.502e-16,                  0.0,            1.225e-18,            1.514e-25,                 60.0,                    1
                Ca46,                 Ca46,                  0.0,            4.724e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ca47,                 Ca47,              0.03878,             1.71e-18,                  0.0,            2.141e-18,            6.589e-18,                 60.0,                    1
                Ca48,                 Ca48,            2.166e-25,            4.162e-20,                  0.0,             7.58e-41,            1.631e-42,                 60.0,                    1
                Sc40,                 Sc40,                227.3,            3.969e-21,             1.01e-16,            1.238e-13,            2.593e-13,                 60.0,                    1
                Sc41,                 Sc41,              28600.0,            1.674e-18,                  0.0,            1.165e-11,            4.684e-12,                 60.0,                    1
                Sc42,                 Sc42,             586700.0,            4.016e-17,                  0.0,            2.357e-10,            9.599e-11,                 60.0,                    1
               Sc42m,                Sc42m,             112800.0,            7.031e-16,                  0.0,            2.269e-11,            7.599e-11,                 60.0,                    1
                Sc43,                 Sc43,              13120.0,            1.891e-14,                  0.0,            8.824e-13,             2.07e-12,                 60.0,                    1
                Sc44,                 Sc44,              16300.0,            2.453e-14,                  0.0,            1.556e-12,            5.576e-12,                 60.0,                    1
               Sc44m,                Sc44m,                654.6,            1.454e-14,                  0.0,            3.442e-15,            2.887e-14,                 60.0,                    1
                Sc45,                 Sc45,                  0.0,            3.663e-14,                  0.0,                  0.0,                  0.0,                 60.0,                    1
               Sc45m,                Sc45m,            5261000.0,            1.841e-16,                  0.0,            9.871e-12,              5.9e-13,                 60.0,                    1
                Sc46,                 Sc46,                9.664,            7.702e-15,                  0.0,            1.735e-16,            3.111e-15,                 60.0,                    1
               Sc46m,                Sc46m,             395400.0,             8.14e-16,                  0.0,            3.731e-12,            5.255e-12,                 60.0,                    1
                Sc47,                 Sc47,                169.2,            5.509e-15,                  0.0,            4.406e-15,            2.938e-15,                 60.0,                    1
                Sc48,                 Sc48,                29.22,            5.277e-16,                  0.0,            1.028e-15,            1.568e-14,                 60.0,                    1
                Sc49,                 Sc49,                 63.3,            2.548e-17,                  0.0,            8.315e-15,            3.388e-17,                 60.0,                    1
                Sc50,                 Sc50,                31.76,            3.895e-19,                  0.0,            8.263e-15,            1.627e-14,                 60.0,                    1
               Sc50m,                Sc50m,                131.5,            5.508e-21,                  0.0,            8.572e-16,            5.571e-15,                 60.0,                    1
                Sc51,                 Sc51,                1.162,            1.759e-21,                  0.0,            3.429e-16,            4.376e-16,                 60.0,                    1
