            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
               Kr81m,                Kr81m,            4.055e+16,            0.0001038,                  0.0,               0.3818,               0.8558,                180.0,                    1
                Kr82,                 Kr82,                  0.0,              0.03018,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Kr83,                 Kr83,                  0.0,             0.005833,                  0.0,                  0.0,                  0.0,                180.0,                    1
               Kr83m,                Kr83m,    808100000000000.0,             0.001057,                  0.0,             0.005065,            0.0003493,                180.0,                    1
                Kr84,                 Kr84,                  0.0,             0.004395,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Kr85,                 Kr85,        14170000000.0,            0.0009779,                  0.0,            5.178e-07,            5.076e-09,                180.0,                    1
               Kr85m,                Kr85m,     81440000000000.0,            0.0002672,                  0.0,             0.003317,             0.002054,                180.0,                    1
                Kr86,                 Kr86,                  0.0,            1.985e-06,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Rb73,                 Rb73,          468500000.0,            2.456e-21,             4.52e-08,                  0.0,                  0.0,                180.0,                    1
                Rb74,                 Rb74,      1190000000000.0,            1.368e-11,             2.71e-07,            0.0008525,            0.0001944,                180.0,                    1
                Rb75,                 Rb75,     38810000000000.0,            1.324e-07,                  0.0,              0.01472,              0.01472,                180.0,                    1
                Rb76,                 Rb76,   4341000000000000.0,            2.883e-05,                  0.0,                1.638,                2.316,                180.0,                    1
                Rb77,                 Rb77,            3.071e+16,              0.00128,                  0.0,                8.302,                7.461,                180.0,                    1
                Rb78,                 Rb78,            1.014e+16,             0.002006,                  0.0,                1.975,                6.594,                180.0,                    1
               Rb78m,                Rb78m,            1.304e+17,             0.008387,                  0.0,                30.28,                67.12,                180.0,                    1
                Rb79,                 Rb79,            1.916e+17,              0.04977,                  0.0,                24.77,                43.04,                180.0,                    1
                Rb80,                 Rb80,            4.675e+18,              0.03043,                  0.0,               1523.0,                886.6,                180.0,                    1
                Rb81,                 Rb81,            1.775e+16,               0.0567,                  0.0,               0.5291,                1.838,                180.0,                    1
               Rb81m,                Rb81m,            4.408e+17,               0.1551,                  0.0,                5.223,                2.002,                180.0,                    1
                Rb82,                 Rb82,            1.052e+18,              0.01578,                  0.0,                238.0,                186.9,                180.0,                    1
               Rb82m,                Rb82m,            2.693e+16,               0.1231,                  0.0,               0.3433,                12.53,                180.0,                    1
                Rb83,                 Rb83,     75650000000000.0,               0.1119,                  0.0,            0.0001047,             0.006012,                180.0,                    1
                Rb84,                 Rb84,     92800000000000.0,                0.054,                  0.0,             0.002142,              0.01319,                180.0,                    1
               Rb84m,                Rb84m,            7.553e+16,              0.01859,                  0.0,               0.9703,                4.634,                180.0,                    1
                Rb85,                 Rb85,                  0.0,              0.05617,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Rb86,                 Rb86,     73540000000000.0,              0.02437,                  0.0,             0.007731,             0.001105,                180.0,                    1
               Rb86m,                Rb86m,            4.208e+17,             0.005283,                  0.0,               0.6715,                36.81,                180.0,                    1
                Rb87,                 Rb87,                26.95,             0.008516,                  0.0,            3.527e-16,                  0.0,                180.0,                    1
                Sr73,                 Sr73,               1832.0,            8.005e-21,                  0.0,            1.404e-12,            1.404e-12,                180.0,                    1
                Sr74,                 Sr74,            4008000.0,             3.55e-17,                  0.0,            2.401e-09,            2.401e-09,                180.0,                    1
                Sr75,                 Sr75,         3930000000.0,             6.21e-14,             6.89e-08,            2.179e-06,            2.179e-06,                180.0,                    1
                Sr76,                 Sr76,       508900000000.0,            8.239e-10,                  0.0,            0.0001696,            0.0001696,                180.0,                    1
                Sr77,                 Sr77,     66130000000000.0,            1.097e-07,                  0.0,              0.02768,              0.01283,                180.0,                    1
                Sr78,                 Sr78,   2240000000000000.0,            6.651e-05,                  0.0,               0.4501,               0.4501,                180.0,                    1
                Sr79,                 Sr79,            3.897e+16,            0.0009949,                  0.0,                11.83,                7.504,                180.0,                    1
                Sr80,                 Sr80,            2.489e+16,               0.0304,                  0.0,               0.2528,                 1.94,                180.0,                    1
                Sr81,                 Sr81,             3.82e+17,              0.09908,                  0.0,                59.06,                84.22,                180.0,                    1
                Sr82,                 Sr82,    941900000000000.0,               0.4081,                  0.0,            0.0007608,             0.001185,                180.0,                    1
                Sr83,                 Sr83,            3.497e+16,               0.8105,                  0.0,               0.8347,                4.349,                180.0,                    1
               Sr83m,                Sr83m,            3.028e+18,             0.002977,                  0.0,                15.12,                110.7,                180.0,                    1
                Sr84,                 Sr84,                  0.0,                1.623,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Sr85,                 Sr85,    676500000000000.0,               0.7711,                  0.0,            0.0009457,              0.05622,                180.0,                    1
               Sr85m,                Sr85m,            1.398e+17,               0.1154,                  0.0,               0.2968,                4.837,                180.0,                    1
                Sr86,                 Sr86,                  0.0,               0.9231,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Sr87,                 Sr87,                  0.0,               0.4299,                  0.0,                  0.0,                  0.0,                180.0,                    1
               Sr87m,                Sr87m,             6.16e+16,                 0.13,                  0.0,                0.657,                3.167,                180.0,                    1
                Sr88,                 Sr88,                  0.0,                0.379,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Sr89,                 Sr89,            1.811e-07,            1.685e-22,                  0.0,            1.696e-23,            2.521e-27,                180.0,                    1
                 Y77,                  Y77,          205000000.0,            2.381e-15,             1.35e-10,            1.073e-07,            1.073e-07,                180.0,                    1
                 Y78,                  Y78,       268600000000.0,            2.708e-12,                  0.0,            0.0001527,            0.0001527,                180.0,                    1
                Y78m,                 Y78m,       266600000000.0,            2.888e-13,                  0.0,            0.0001516,            0.0001516,                180.0,                    1
                 Y79,                  Y79,     24630000000000.0,            6.892e-08,                  0.0,              0.00936,              0.00936,                180.0,                    1
                 Y80,                  Y80,    459200000000000.0,            3.078e-06,                  0.0,               0.2344,               0.1621,                180.0,                    1
                Y80m,                 Y80m,    204800000000000.0,            1.883e-07,                  0.0,              0.01936,              0.02544,                180.0,                    1
                 Y81,                  Y81,            4.176e+16,              0.00057,                  0.0,                13.24,                7.874,                180.0,                    1
                 Y82,                  Y82,             7.12e+17,             0.001328,                  0.0,                353.6,                143.7,                180.0,                    1
                 Y83,                  Y83,            1.053e+18,              0.08893,                  0.0,                234.6,                237.9,                180.0,                    1
                Y83m,                 Y83m,            4.618e+17,              0.01569,                  0.0,                99.88,                86.56,                180.0,                    1
                 Y84,                  Y84,            1.815e+19,              0.01678,                  0.0,               6852.0,               3719.0,                180.0,                    1
                Y84m,                 Y84m,            1.234e+17,              0.05955,                  0.0,                24.16,                78.56,                180.0,                    1
                 Y85,                  Y85,            1.091e+17,               0.2142,                  0.0,                 8.69,                22.31,                180.0,                    1
                Y85m,                 Y85m,            3.357e+17,                1.195,                  0.0,                30.77,                72.83,                180.0,                    1
                 Y86,                  Y86,            1.277e+17,                1.395,                  0.0,                 4.45,                73.04,                180.0,                    1
                Y86m,                 Y86m,             1.19e+18,               0.7054,                  0.0,                4.398,                41.97,                180.0,                    1
                 Y87,                  Y87,             1.28e+16,               0.7704,                  0.0,              0.01386,               0.9392,                180.0,                    1
                Y87m,                 Y87m,            2.156e+17,                 2.16,                  0.0,                2.703,                 10.6,                180.0,                    1
                 Y88,                  Y88,   1398000000000000.0,                2.712,                  0.0,             0.001419,               0.6037,                180.0,                    1
                 Y89,                  Y89,                  0.0,                956.8,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Y89m,                 Y89m,            2.246e+19,              0.07493,                  0.0,                26.07,               3244.0,                180.0,                    1
                 Y90,                  Y90,            0.0002146,            1.065e-20,                  0.0,              3.2e-20,            9.878e-23,                180.0,                    1
                Y90m,                 Y90m,             0.002761,            6.829e-21,                  0.0,            2.054e-20,             2.81e-19,                180.0,                    1
                Zr78,                 Zr78,             497000.0,            4.641e-18,                  0.0,            2.874e-10,            2.874e-10,                180.0,                    1
                Zr79,                 Zr79,          691100000.0,             7.32e-15,                  0.0,             4.06e-07,             4.06e-07,                180.0,                    1
                Zr80,                 Zr80,       408400000000.0,            3.598e-10,                  0.0,            0.0001193,            0.0001193,                180.0,                    1
                Zr81,                 Zr81,     18240000000000.0,            1.945e-08,             3.97e-06,             0.007331,             0.007331,                180.0,                    1
                Zr82,                 Zr82,    289600000000000.0,            1.819e-06,                  0.0,              0.06186,              0.06186,                180.0,                    1
                Zr83,                 Zr83,   2177000000000000.0,            1.799e-05,                  0.0,               0.7328,               0.4142,                180.0,                    1
                Zr84,                 Zr84,            3.691e+16,               0.0115,                  0.0,                5.519,                5.499,                180.0,                    1
                Zr85,                 Zr85,            4.696e+17,              0.04505,                  0.0,                99.68,                109.6,                180.0,                    1
               Zr85m,                Zr85m,            6.799e+16,            0.0001508,                  0.0,                  0.0,                3.183,                180.0,                    1
                Zr86,                 Zr86,            1.934e+16,               0.2364,                  0.0,              0.09387,               0.9139,                180.0,                    1
                Zr87,                 Zr87,            3.238e+17,               0.4077,                  0.0,                42.83,                48.82,                180.0,                    1
               Zr87m,                Zr87m,            6.412e+17,             0.001869,                  0.0,                10.09,                24.39,                180.0,                    1
                Zr88,                 Zr88,    323900000000000.0,               0.4892,                  0.0,            0.0007279,              0.02034,                180.0,                    1
                Zr89,                 Zr89,   2445000000000000.0,                0.147,                  0.0,              0.03634,              0.09944,                180.0,                    1
               Zr89m,                Zr89m,            4.676e+17,              0.02498,                  0.0,                2.452,                 47.8,                180.0,                    1
                Zr90,                 Zr90,                  0.0,             0.002517,                  0.0,                  0.0,                  0.0,                180.0,                    1
               Zr90m,                Zr90m,            4.348e+16,            7.569e-06,                  0.0,               0.1129,                16.05,                180.0,                    1
                Zr91,                 Zr91,                  0.0,            2.346e-16,                  0.0,                  0.0,                  0.0,                180.0,                    1
                Nb82,                 Nb82,        25890000000.0,            2.541e-13,              6.2e-09,            2.007e-05,             4.23e-06,                180.0,                    1
                Nb83,                 Nb83,      3268000000000.0,            2.662e-09,                  0.0,             0.001309,             0.001309,                180.0,                    1
                Nb84,                 Nb84,     31170000000000.0,            7.521e-08,                  0.0,              0.01913,             0.008631,                180.0,                    1
                Nb85,                 Nb85,    175900000000000.0,            7.481e-07,                  0.0,              0.05638,              0.05638,                180.0,                    1
               Nb85m,                Nb85m,         2068000000.0,             5.05e-12,                  0.0,            7.144e-07,            7.144e-07,                180.0,                    1
                Nb86,                 Nb86,    581000000000000.0,            1.052e-05,                  0.0,               0.1852,               0.3444,                180.0,                    1
               Nb86m,                Nb86m,     73300000000000.0,            8.457e-07,                  0.0,              0.03218,              0.03218,                180.0,                    1
                Nb87,                 Nb87,    116700000000000.0,            5.468e-06,                  0.0,              0.03317,              0.02282,                180.0,                    1
               Nb87m,                Nb87m,    658000000000000.0,            2.137e-05,                  0.0,               0.1465,               0.1863,                180.0,                    1
                Nb88,                 Nb88,     84000000000000.0,            1.539e-05,                  0.0,              0.02019,               0.0572,                180.0,                    1
               Nb88m,                Nb88m,    134300000000000.0,             1.32e-05,                  0.0,              0.02994,              0.08766,                180.0,                    1
                Nb89,                 Nb89,      5526000000000.0,            8.602e-06,                  0.0,            0.0009783,             0.001208,                180.0,                    1
               Nb89m,                Nb89m,      1223000000000.0,            1.031e-06,                  0.0,            0.0001638,            0.0003648,                180.0,                    1
                Nb90,                 Nb90,        28100000000.0,            3.179e-07,                  0.0,            1.764e-06,            8.825e-06,                180.0,                    1
               Nb90m,                Nb90m,      8672000000000.0,            3.514e-08,                  0.0,            5.878e-05,            0.0001145,                180.0,                    1
                Nb91,                 Nb91,                370.7,            1.732e-09,                  0.0,            3.492e-16,            7.463e-16,                180.0,                    1
               Nb91m,                Nb91m,            1066000.0,            1.221e-09,                  0.0,            1.596e-11,            6.494e-12,                180.0,                    1
                Mo83,                 Mo83,            3252000.0,            1.486e-17,                  0.0,            1.947e-09,            1.947e-09,                180.0,                    1
                Mo84,                 Mo84,          172800000.0,             1.32e-16,                  0.0,            5.602e-08,            5.602e-08,                180.0,                    1
                Mo85,                 Mo85,         2385000000.0,            1.553e-12,                  0.0,            9.285e-07,            9.285e-07,                180.0,                    1
                Mo86,                 Mo86,        28000000000.0,             1.13e-10,                  0.0,            7.695e-06,            7.695e-06,                180.0,                    1
                Mo87,                 Mo87,        72830000000.0,            2.126e-10,                  0.0,             2.71e-08,            1.446e-05,                180.0,                    1
                Mo88,                 Mo88,         8827000000.0,            8.924e-10,                  0.0,            1.697e-06,            4.323e-07,                180.0,                    1
                Mo89,                 Mo89,        12690000000.0,            3.421e-10,                  0.0,            3.974e-06,            2.492e-06,                180.0,                    1
               Mo89m,                Mo89m,         5829000000.0,            2.359e-13,                  0.0,                  0.0,            3.619e-07,                180.0,                    1
                Mo90,                 Mo90,            4911000.0,            2.117e-11,                  0.0,            1.578e-10,            6.437e-10,                180.0,                    1
                Mo91,                 Mo91,            1471000.0,            2.978e-13,                  0.0,            3.421e-10,            2.304e-10,                180.0,                    1
               Mo91m,                Mo91m,            4330000.0,            6.093e-14,                  0.0,            3.859e-10,            9.621e-10,                180.0,                    1
                Mo92,                 Mo92,            1.362e-21,            1.799e-15,                  0.0,            3.599e-37,                  0.0,                180.0,                    1
                Tc86,                 Tc86,              59350.0,            6.721e-19,                  0.0,            3.598e-11,            3.598e-11,                180.0,                    1
                Tc87,                 Tc87,             145800.0,            6.682e-17,                  0.0,            6.675e-11,            6.675e-11,                180.0,                    1
                Tc88,                 Tc88,             537500.0,            6.567e-16,                  0.0,            2.868e-10,            2.868e-10,                180.0,                    1
               Tc88m,                Tc88m,             406800.0,            5.484e-16,                  0.0,             2.17e-10,             2.17e-10,                180.0,                    1
                Tc89,                 Tc89,             303100.0,            8.266e-16,                  0.0,            1.128e-10,            1.128e-10,                180.0,                    1
               Tc89m,                Tc89m,              61540.0,            1.691e-16,                  0.0,            2.311e-11,            2.311e-11,                180.0,                    1
                Tc90,                 Tc90,              34900.0,             6.54e-17,                  0.0,            1.872e-11,            9.792e-12,                180.0,                    1
               Tc90m,                Tc90m,               5179.0,             5.49e-17,                  0.0,            2.563e-12,            2.563e-12,                180.0,                    1
                Tc91,                 Tc91,                255.9,             1.05e-17,                  0.0,            7.108e-14,            9.375e-14,                180.0,                    1
               Tc91m,                Tc91m,                38.16,            1.646e-18,                  0.0,            1.211e-14,            9.048e-15,                180.0,                    1
                Tc92,                 Tc92,                2.741,            1.594e-19,                  0.0,             7.73e-16,            1.726e-15,                180.0,                    1
                Tc93,                 Tc93,            0.0003113,             6.86e-22,                  0.0,            2.149e-21,            7.823e-20,                180.0,                    1
               Tc93m,                Tc93m,            0.0003191,            1.854e-22,                  0.0,            4.641e-21,             4.13e-20,                180.0,                    1
                Ru88,                 Ru88,                1.904,            5.215e-22,                  0.0,             7.18e-16,             7.18e-16,                180.0,                    1
                Ru89,                 Ru89,                1.524,             4.48e-22,                  0.0,            6.753e-16,            6.753e-16,                180.0,                    1
                Ru90,                 Ru90,               0.1803,            4.274e-22,                  0.0,            5.533e-17,            5.533e-17,                180.0,                    1
                  H1,                   H1,                  0.0,               0.2443,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                  H2,                   H2,                  0.0,              0.03614,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                  H3,                   H3,      4010000000000.0,              0.01127,                  0.0,            3.667e-06,                  0.0,              86400.0,                    0
                 He3,                  He3,                  0.0,               0.0173,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 He4,                  He4,                  0.0,              0.04405,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 C12,                  C12,                  0.0,            6.715e-23,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 C13,                  C13,                  0.0,            3.164e-23,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 N14,                  N14,                  0.0,            5.819e-23,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 N15,                  N15,                  0.0,            3.792e-22,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 O16,                  O16,                  0.0,            1.476e-21,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 O17,                  O17,                  0.0,            5.411e-22,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 O18,                  O18,                  0.0,            7.882e-22,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 F19,                  F19,                  0.0,            2.314e-21,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ne20,                 Ne20,                  0.0,                2e-20,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ne21,                 Ne21,                  0.0,            1.757e-20,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ne22,                 Ne22,                  0.0,            1.305e-20,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Na22,                 Na22,            6.096e-06,            2.638e-20,                  0.0,            1.897e-22,            2.141e-21,              86400.0,                    0
                Na23,                 Na23,                  0.0,            1.415e-19,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Na24,                 Na24,             0.004859,            1.504e-20,                  0.0,            4.319e-19,            3.209e-18,              86400.0,                    0
                Mg24,                 Mg24,                  0.0,             5.61e-19,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Mg25,                 Mg25,                  0.0,            6.274e-19,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Mg26,                 Mg26,                  0.0,             1.01e-18,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Mg28,                 Mg28,            0.0001439,            7.261e-22,                  0.0,            4.563e-21,            3.183e-20,              86400.0,                    0
                Al26,                 Al26,            3.171e-10,            4.467e-19,                  0.0,            2.027e-26,            1.359e-25,              86400.0,                    0
                Al27,                 Al27,                  0.0,            4.719e-18,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Si28,                 Si28,                  0.0,            1.467e-17,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Si29,                 Si29,                  0.0,            8.786e-18,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Si30,                 Si30,                  0.0,             1.89e-17,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Si31,                 Si31,             0.002784,            1.948e-21,                  0.0,            2.648e-19,            9.689e-22,              86400.0,                    0
                Si32,                 Si32,            9.977e-07,            3.184e-19,                  0.0,            1.034e-23,                  0.0,              86400.0,                    0
                 P31,                  P31,                  0.0,            5.807e-17,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 P32,                  P32,               0.3466,            3.273e-17,                  0.0,            3.847e-17,            9.497e-20,              86400.0,                    0
                 P33,                  P33,              0.05101,            8.836e-18,                  0.0,            6.244e-19,                  0.0,              86400.0,                    0
                 S32,                  S32,                  0.0,            1.531e-16,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 S33,                  S33,                  0.0,             3.01e-16,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 S34,                  S34,                  0.0,            6.185e-16,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 S35,                  S35,              0.09124,            5.767e-17,                  0.0,            7.122e-19,                  0.0,              86400.0,                    0
                 S36,                  S36,                  0.0,            1.874e-17,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 S38,                  S38,            0.0002888,            2.684e-22,                  0.0,            2.263e-20,            7.845e-20,              86400.0,                    0
                Cl35,                 Cl35,                  0.0,            1.373e-15,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Cl36,                 Cl36,            1.239e-06,            1.014e-15,                  0.0,            5.423e-23,            3.639e-27,              86400.0,                    0
                Cl37,                 Cl37,                  0.0,            5.537e-16,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Cl38,                 Cl38,            0.0003695,            7.502e-23,                  0.0,            9.017e-20,            8.844e-20,              86400.0,                    0
                Ar36,                 Ar36,                  0.0,            2.398e-15,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ar37,                 Ar37,                22.51,            6.036e-15,                  0.0,            7.033e-18,             8.04e-19,              86400.0,                    0
                Ar38,                 Ar38,                  0.0,            1.511e-14,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ar39,                 Ar39,              0.00274,            2.171e-15,                  0.0,            9.597e-20,                  0.0,              86400.0,                    0
                Ar40,                 Ar40,                  0.0,            7.741e-16,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ar41,                 Ar41,              0.01364,            8.805e-21,                  0.0,            1.013e-18,            2.808e-18,              86400.0,                    0
                Ar42,                 Ar42,            0.0001279,            1.339e-17,                  0.0,            4.772e-21,                  0.0,              86400.0,                    0
                 K39,                  K39,                  0.0,            2.655e-14,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 K40,                  K40,            7.431e-09,             2.84e-14,                  0.0,            5.398e-25,            1.855e-25,              86400.0,                    0
                 K41,                  K41,                  0.0,            1.367e-14,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 K42,                  K42,                186.7,            8.349e-16,                  0.0,            4.249e-14,            8.254e-15,              86400.0,                    0
                 K43,                  K43,                37.07,            3.049e-16,                  0.0,            1.839e-15,            5.739e-15,              86400.0,                    0
                Ca40,                 Ca40,                  0.0,            3.827e-14,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ca41,                 Ca41,            0.0003859,            1.231e-13,                  0.0,            1.758e-22,            2.703e-23,              86400.0,                    0
                Ca42,                 Ca42,                  0.0,            3.031e-13,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ca43,                 Ca43,                  0.0,            5.815e-13,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ca44,                 Ca44,                  0.0,            6.697e-13,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ca45,                 Ca45,                3.221,            4.885e-15,                  0.0,            3.984e-17,            4.925e-24,              86400.0,                    0
                Ca46,                 Ca46,                  0.0,            1.547e-15,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ca47,                 Ca47,                1.078,            4.756e-17,                  0.0,            5.954e-17,            1.832e-16,              86400.0,                    0
                Ca48,                 Ca48,            7.568e-24,            1.454e-18,                  0.0,            2.648e-39,            5.699e-41,              86400.0,                    0
                Sc43,                 Sc43,               4084.0,            5.887e-15,                  0.0,            2.747e-13,            6.443e-13,              86400.0,                    0
                Sc44,                 Sc44,              16670.0,             2.51e-14,                  0.0,            1.592e-12,            5.706e-12,              86400.0,                    0
               Sc44m,                Sc44m,              10680.0,            2.373e-13,                  0.0,            5.616e-14,            4.711e-13,              86400.0,                    0
                Sc45,                 Sc45,                  0.0,            3.297e-12,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Sc46,                 Sc46,                229.3,            1.828e-13,                  0.0,            4.118e-15,            7.383e-14,              86400.0,                    0
                Sc47,                 Sc47,               2893.0,            9.423e-14,                  0.0,            7.537e-14,            5.025e-14,              86400.0,                    0
                Sc48,                 Sc48,                413.0,            7.459e-15,                  0.0,            1.453e-14,            2.217e-13,              86400.0,                    0
                Ti44,                 Ti44,                2.309,            4.605e-13,                  0.0,            3.932e-18,            5.116e-17,              86400.0,                    0
                Ti45,                 Ti45,               9374.0,             1.12e-14,                  0.0,            5.607e-13,            1.309e-12,              86400.0,                    0
                Ti46,                 Ti46,                  0.0,            9.783e-12,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ti47,                 Ti47,                  0.0,            2.082e-11,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ti48,                 Ti48,                  0.0,            7.813e-12,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ti49,                 Ti49,                  0.0,            1.263e-12,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Ti50,                 Ti50,                  0.0,            1.324e-13,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                 V48,                  V48,             262300.0,            4.158e-11,                  0.0,            6.273e-12,            1.225e-10,              86400.0,                    0
                 V49,                  V49,              36050.0,            1.205e-10,                  0.0,             2.07e-14,             5.47e-15,              86400.0,                    0
                 V50,                  V50,            3.824e-14,            2.022e-11,                  0.0,            9.607e-32,            8.722e-30,              86400.0,                    0
                 V51,                  V51,                  0.0,            2.276e-11,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Cr48,                 Cr48,             293500.0,            2.617e-12,                  0.0,            3.866e-13,            2.036e-11,              86400.0,                    0
                Cr49,                 Cr49,               0.0105,            3.096e-21,                  0.0,            1.004e-18,            1.762e-18,              86400.0,                    0
                Cr50,                 Cr50,            4.181e-13,            2.842e-10,                  0.0,            7.819e-29,                  0.0,              86400.0,                    0
                Cr51,                 Cr51,            2137000.0,            6.242e-10,                  0.0,            1.255e-12,             1.12e-11,              86400.0,                    0
                Cr52,                 Cr52,                  0.0,             8.24e-10,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Cr53,                 Cr53,                  0.0,            4.746e-11,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Cr54,                 Cr54,                  0.0,            9.431e-12,                  0.0,                  0.0,                  0.0,              86400.0,                    0
                Mn51,                 Mn51,              18910.0,            6.399e-15,                  0.0,            2.833e-12,            3.023e-12,              86400.0,                    0
                Mn52,                 Mn52,            9523000.0,            5.729e-10,                  0.0,            1.092e-10,            5.281e-09,              86400.0,                    0
               Mn52m,                Mn52m,            1935000.0,            3.063e-13,                  0.0,            3.513e-10,            7.468e-10,              86400.0,                    0
                Mn53,                 Mn53,               0.2247,             3.31e-09,                  0.0,            1.441e-19,            5.121e-20,              86400.0,                    0
                Mn54,                 Mn54,             342500.0,            1.194e-09,                  0.0,             2.21e-13,            4.588e-11,              86400.0,                    0
                Mn55,                 Mn55,                  0.0,            4.463e-10,                  0.0,                  0.0,                  0.0,              86400.0,                    0
